1
63 331
2 18 20
1 49 -1000000000
2 23 38
1 27 1000000000
1 26 -1000000000
2 4 41
2 42 59
2 28 59
1 45 1000000000
2 11 35
1 51 1000000000
2 16 62
1 5 1000000000
2 44 54
2 0 23
2 3 24
2 34 35
2 23 37
2 25 33
1 5 1000000000
2 13 62
1 27 -1000000000
1 24 1000000000
2 13 44
2 20 27
1 52 1000000000
2 0 34
1 56 1000000000
1 21 1000000000
1 9 1000000000
1 41 -1000000000
1 32 -1000000000
2 18 26
2 7 35
1 20 -1000000000
2 6 30
2 32 45
2 53 61
2 0 53
2 14 50
2 1 24
1 54 1000000000
2 39 59
1 57 -1000000000
2 14 17
1 24 1000000000
1 35 1000000000
2 10 34
2 30 45
1 57 -1000000000
2 19 61
1 13 1000000000
1 49 -1000000000
2 7 18
2 13 25
2 5 30
1 44 1000000000
2 43 58
1 31 -1000000000
2 48 49
1 3 1000000000
1 19 1000000000
1 14 1000000000
1 28 1000000000
1 14 -1000000000
1 6 1000000000
1 14 -1000000000
1 33 -1000000000
1 29 -1000000000
2 3 18
1 34 -1000000000
2 3 9
2 30 52
1 39 -1000000000
2 37 42
2 2 49
2 4 39
1 58 1000000000
2 18 32
1 47 1000000000
2 0 52
1 49 1000000000
2 32 49
2 15 15
2 1 24
2 45 54
2 45 46
1 5 -1000000000
2 22 30
1 14 1000000000
2 8 35
2 2 12
2 3 49
2 21 54
2 13 48
1 62 1000000000
1 53 1000000000
1 29 1000000000
2 3 16
2 37 49
1 13 1000000000
1 48 -1000000000
1 27 1000000000
2 2 6
1 15 -1000000000
1 23 1000000000
1 44 -1000000000
1 50 -1000000000
1 20 -1000000000
2 26 58
2 33 58
2 49 61
1 4 1000000000
2 51 58
2 33 33
2 15 57
1 18 1000000000
2 16 36
2 3 41
2 11 18
1 54 1000000000
2 40 46
2 17 51
2 48 51
1 58 1000000000
1 8 1000000000
1 43 1000000000
2 6 18
1 6 1000000000
2 20 57
2 3 31
2 7 52
1 36 -1000000000
1 37 1000000000
1 17 1000000000
2 49 49
2 10 32
2 9 53
2 5 46
2 42 49
1 62 1000000000
2 27 62
1 40 -1000000000
1 36 1000000000
1 27 -1000000000
2 7 16
1 9 1000000000
1 36 1000000000
1 59 1000000000
1 56 1000000000
2 31 44
1 19 -1000000000
2 26 41
2 13 48
2 51 61
1 34 1000000000
2 11 53
2 15 44
2 35 53
2 28 49
2 7 10
2 33 60
2 23 29
1 24 1000000000
2 0 57
2 33 35
2 7 41
1 8 -1000000000
1 2 -1000000000
1 31 -1000000000
2 3 29
2 3 4
1 60 1000000000
1 33 1000000000
2 39 55
1 0 1000000000
1 4 1000000000
1 62 -1000000000
2 40 59
1 60 1000000000
1 18 1000000000
1 57 1000000000
2 27 56
2 37 42
1 26 1000000000
1 18 1000000000
2 45 58
2 8 33
2 18 51
1 46 1000000000
2 4 13
2 27 42
1 22 1000000000
1 33 -1000000000
2 1 12
2 20 29
1 19 -1000000000
2 46 60
2 27 43
2 5 55
2 16 54
1 7 -1000000000
1 15 -1000000000
2 8 44
1 48 1000000000
1 57 1000000000
2 4 22
1 43 -1000000000
1 44 1000000000
2 2 48
1 10 -1000000000
1 50 -1000000000
1 30 -1000000000
2 13 29
1 29 -1000000000
1 31 1000000000
1 17 1000000000
2 45 62
1 40 1000000000
2 13 33
1 11 1000000000
1 12 1000000000
1 3 1000000000
1 50 -1000000000
2 34 34
1 16 -1000000000
2 9 12
1 2 1000000000
2 34 42
1 1 -1000000000
2 3 3
2 5 28
2 47 61
1 11 -1000000000
1 54 1000000000
1 43 -1000000000
2 13 62
2 0 35
1 2 -1000000000
1 8 1000000000
2 28 62
2 55 56
1 57 1000000000
1 9 1000000000
2 24 46
1 60 -1000000000
1 44 1000000000
2 15 22
1 41 -1000000000
2 4 50
1 11 1000000000
1 31 -1000000000
1 41 1000000000
1 6 -1000000000
1 21 1000000000
1 29 -1000000000
1 33 1000000000
2 19 32
2 10 28
1 62 -1000000000
2 19 55
2 10 31
1 39 -1000000000
2 20 47
2 25 36
1 11 -1000000000
1 38 -1000000000
2 10 23
1 14 -1000000000
2 1 26
1 46 -1000000000
2 5 47
1 39 1000000000
1 58 -1000000000
2 24 32
2 19 38
2 59 62
1 44 -1000000000
2 10 24
2 16 40
2 10 53
2 8 27
1 17 1000000000
1 21 1000000000
1 0 1000000000
2 10 30
2 34 45
1 12 -1000000000
1 8 1000000000
2 22 24
2 26 54
2 48 55
1 45 -1000000000
1 1 -1000000000
1 56 1000000000
2 39 57
1 60 1000000000
2 3 51
1 43 1000000000
2 3 5
1 27 1000000000
2 35 49
2 12 56
2 22 38
1 44 -1000000000
2 6 33
2 9 45
1 47 1000000000
1 13 -1000000000
1 3 1000000000
2 43 55
1 36 -1000000000
2 24 59
1 15 -1000000000
2 3 8
1 25 1000000000
2 42 49
2 27 33
2 17 36
2 3 42
1 36 -1000000000
2 6 8
1 42 1000000000
1 39 1000000000
1 4 1000000000
1 45 -1000000000
1 34 -1000000000
2 5 22
1 58 -1000000000
2 6 31
2 32 54
